Symbol,Trade Date,Broker,ADV,Volatility,Beta,Mkt Cap (MM),Side,Order Shares,Executed Shares,POV,P_avg,Pd,P0,Pn,VWAP
JNJ,8/6/24,Broker D,10849724,0.33,0.518104196,378153,Buy,636200,636200,0.067933712,160.63,158.23,158.44,161.61,160.6068281
HD,8/6/24,Broker B,4276120,0.36,0.904466271,344794,Buy,397100,397100,0.144550618,361,354.36,354.47,363.23,360.9360921
ABBV,8/6/24,Broker D,8754635,0.36,0.487410396,301009,Sell,786600,786600,0.132656961,171,174.17,174,171.05,170.9944673
KO,8/6/24,Broker B,20127234,0.24,0.439482689,313171,Buy,1832600,1531500,0.130212255,74.49,73.47,73.55,75.14,74.43789537
PM,8/6/24,Broker D,7038256,0.31,0.448695272,252431,Buy,703500,703500,0.187657863,166.77,164.05,164.15,167.84,166.7024514
BAC,8/6/24,Broker A,58030748,0.54,1.156621456,280695,Buy,4460200,4460200,0.082975885,38.16,37.28,37.39,38.63,38.0143394
CRM,8/6/24,Broker C,7202936.5,0.47,1.214108348,227046,Buy,360500,360500,0.093474695,246.83,242.48,242.55,248.89,246.8341745
CVX,8/6/24,Broker B,11178586,0.49,0.715148687,233589,Buy,1101100,1101100,0.187339239,139.56,136.29,136.35,140.32,139.518895
ABT,8/6/24,Broker A,8016111.5,0.3,0.586934447,225271,Sell,774400,774400,0.133143316,130.02,131.96,131.85,130.97,130.139928
MCD,8/6/24,Broker D,4345218,0.28,0.59120661,220757,Sell,412800,412800,0.154703018,306.84,311.28,311.35,307.33,306.9045016
CSCO,8/6/24,Broker B,26598580,0.43,0.881947041,216300,Sell,1880300,1755700,0.080907866,54.2,55.33,55.23,54.82,54.26526432
IBM,8/6/24,Broker C,5153453.5,0.39,0.758216262,219038,Sell,468900,468900,0.157689771,236.13,240.81,240.68,239.89,236.1631578
LIN,8/6/24,Broker B,2600478.25,0.37,0.727685034,209902,Buy,182700,182700,0.170095636,460.13,452.47,452.39,465.7,460.0777428
WFC,8/6/24,Broker D,20418954,0.5,0.994544625,209003,Buy,1461200,1461200,0.077010445,66.49,65.16,65.16,67.71,66.49623588
ORCL,8/6/24,Broker A,12495883,0.58,1.279027343,344416,Sell,828500,828500,0.100408826,124.46,127.2,127.1,126.55,124.5884148
MRK,8/6/24,Broker A,18299742,0.35,0.553353965,195901,Buy,1773700,1773700,0.15358272,79.54,78.19,78.3,79.97,79.43886509
PEP,8/6/24,Broker E,7963296,0.27,0.47175014,194356,Sell,402900,402900,0.15074669,140.71,142.83,142.59,141.76,140.8462481
GE,8/6/24,Broker A,6722253,0.57,1.188797116,190224,Buy,538800,538800,0.199640528,184.73,180.79,180.75,185.6,184.6296126
T,8/6/24,Broker E,45441512,0.33,0.480280787,189002,Buy,3113200,3113200,0.159215136,27.72,27.28,27.27,27.71,27.65701535
PLTR,8/6/24,Broker C,110576536,0.91,2.046456575,212958,Sell,6802500,6802500,0.171987099,93.36,96.48,96.36,93.56,93.36120543
VZ,8/6/24,Broker E,29510090,0.34,0.553383589,184170,Buy,2790200,2790200,0.106547995,45.25,44.29,44.42,45.79,45.18809258
ACN,8/6/24,Broker E,4422696,0.44,0.80521059,175001,Sell,407300,407300,0.14713011,276.12,282.34,282.41,280.62,276.2123818
ISRG,8/6/24,Broker D,2817014.75,0.61,1.206331491,167787,Buy,279400,279400,0.187389096,491.56,478.9,478.76,497.25,491.4984329
RTX,8/6/24,Broker B,5422184.5,0.41,0.707878292,168382,Buy,527900,526800,0.153724304,131.51,128.73,128.86,131.54,131.436835
INTU,8/6/24,Broker B,1932800.125,0.43,1.002376318,159026,Buy,147200,147200,0.120448872,592.93,581.37,581.53,594.49,592.9013741
TMO,8/6/24,Broker D,2260051.5,0.45,0.859779418,159245,Sell,148300,148300,0.131339333,418.5,426.5,426.29,423.01,418.5198352
NOW,8/6/24,Broker B,2160465,0.62,1.252818584,156492,Buy,184600,184600,0.089040636,786.01,765.54,765.6,795.35,785.9526819
GS,8/6/24,Broker D,3531042.75,0.6,1.261187077,161610,Buy,179000,179000,0.048793804,519.99,509.27,509.42,521.32,519.9991068
UBER,8/6/24,Broker E,19155544,0.55,1.195605874,152495,Buy,1169000,1169000,0.128471022,77.31,75.44,75.59,78.28,77.21213336
PGR,8/6/24,Broker D,3972077.25,0.43,0.573527932,150903,Buy,201600,201600,0.173666944,269.48,264.97,265.21,272.51,269.4385239
DIS,8/6/24,Broker D,11873562,0.58,0.890657663,151854,Sell,733800,733800,0.126679914,83.34,85.23,85.19,84.79,83.37186145
ADBE,8/6/24,Broker D,4928740.5,0.59,1.125434399,146280,Buy,248000,248000,0.169487667,353.71,346.68,346.62,354.29,353.6682851
BKNG,8/6/24,Broker C,318188.8125,0.47,1.077503562,145622,Sell,17700,17700,0.073320969,4494.93,4578.81,4578.68,4518.67,4494.943722
QCOM,8/6/24,Broker E,9248309,0.67,1.497467756,150571,Buy,871200,775700,0.190064008,140.44,136.55,136.47,140.56,140.326897
AMGN,8/6/24,Broker B,3351891,0.33,0.565429389,147144,Buy,320500,320500,0.171764281,283.26,278.25,278.4,287.18,283.2147035
SPGI,8/6/24,Broker A,1517246.25,0.42,1.000825882,140911,Buy,82700,78400,0.166769344,466.64,460.22,460.02,472.03,466.4920254
TJX,8/6/24,Broker E,6671403,0.3,0.678406835,138498,Sell,499300,499300,0.074103686,125.53,127.53,127.57,125.74,125.6107877
AMD,8/6/24,Broker E,41816476,0.95,1.692152262,139004,Buy,2901300,2901300,0.10843982,89.08,86.14,86.07,91.63,88.9357453
CAT,8/6/24,Broker D,3281743.25,0.5,1.076455116,136086,Sell,262900,262900,0.100126468,284.82,291,291.01,287.64,284.8856323
BSX,8/6/24,Broker B,9649542,0.42,0.887817025,138411,Sell,927100,793100,0.094835948,93.33,95.18,95.21,94.96,93.42153055
AXP,8/6/24,Broker B,4197011.5,0.62,1.152603507,169900,Buy,376800,376800,0.092686598,256.94,250.26,250.16,261.43,256.9167988
NEE,8/6/24,Broker B,13180131,0.37,0.569819272,133149,Buy,709100,709100,0.127255239,67.19,66.06,66.16,67.71,67.15049477
TXN,8/6/24,Broker A,8989339,0.71,1.09406817,132493,Buy,664000,664000,0.178319699,150.41,146.74,146.67,151.97,150.3022313
MS,8/6/24,Broker C,9562043,0.6,1.288030863,170984,Buy,701500,701500,0.088087167,111.06,108.33,108.44,112.65,111.0231568
UNP,8/6/24,Broker C,3233668.5,0.38,0.845109522,129483,Sell,232300,232300,0.125411441,215.25,218.98,218.99,216.5,215.2945573
GILD,8/6/24,Broker C,10361147,0.28,0.585657597,129908,Sell,796900,796900,0.098803405,103.55,105.23,105.01,104.06,103.5671336
SCHW,8/6/24,Broker C,12408055,0.45,1.128342867,139918,Sell,631500,631500,0.169057978,74.47,75.97,75.77,75.76,74.50222333
CMCSA,8/6/24,Broker E,28652040,0.38,0.723178506,127042,Buy,2524500,2524500,0.189762673,34.65,34.01,33.98,34.95,34.54975613
HON,8/6/24,Broker E,4912729.5,0.44,0.834966779,124940,Sell,435000,435000,0.148168237,191.37,195.8,195.67,194.87,191.4667978
BLK,8/6/24,Broker B,1083176.875,0.51,1.162742853,132389,Buy,89900,89900,0.077440896,889.82,870,869.93,897.29,889.7891828
TMUS,8/6/24,Broker E,4545863,0.35,0.688813746,288121,Buy,307000,301300,0.159357451,266.15,261.74,261.67,267.56,266.0453073
VRTX,8/6/24,Broker E,1611804.375,0.24,0.849466443,122761,Buy,124500,124500,0.122020967,497.64,490.83,490.82,498.76,497.5738477
PFE,8/6/24,Broker E,61340208,0.31,0.494620919,124999,Buy,4013600,4013600,0.161941896,22.53,22.17,22.18,22.61,22.44282455
LOW,8/6/24,Broker B,2954811.25,0.36,0.888534725,119089,Buy,212500,207200,0.074915398,221.94,218.17,218.29,223.61,221.9612087
BA,8/6/24,Broker E,10290827,0.72,1.262373209,119889,Sell,792900,792900,0.096318504,155.13,160,159.88,157.48,155.1670178
DHR,8/6/24,Broker B,4341055.5,0.51,0.908220112,132330,Buy,240100,240100,0.14901154,189.3,185.64,185.6,190.6,189.220212
ADP,8/6/24,Broker A,2150195,0.35,0.787215412,115897,Buy,130800,130800,0.184598757,296.98,293.24,293.13,298.32,296.9295056
SYK,8/6/24,Broker A,1907405.125,0.37,0.750790775,129618,Buy,146000,139200,0.078760418,350.75,345.64,345.63,352.52,350.5937699
C,8/6/24,Broker E,20884940,0.6,1.245760441,117993,Buy,1168700,1168700,0.100985448,64.67,63.14,63.18,65.23,64.55636831
FI,8/6/24,Broker B,3409129.25,0.43,0.87523675,116342,Buy,287900,287900,0.112669051,214.11,209.74,209.85,216.61,214.1055484
DE,8/6/24,Broker E,1539067.125,0.43,0.961758375,119846,Sell,148000,148000,0.103385224,441.87,451.86,451.91,445.06,441.9515593
COP,8/6/24,Broker E,10939566,0.67,0.772891283,110678,Buy,971900,878000,0.12203938,90.3,87.86,87.79,91.52,90.164493
AMAT,8/6/24,Broker D,8732342,0.7,1.516796589,110130,Buy,650400,590100,0.172853215,139.56,136.02,136.04,140.94,139.4931474
PANW,8/6/24,Broker B,5760672,0.58,1.216528773,105969,Buy,478700,478700,0.118240786,170.31,165.95,166.13,173.3,170.2644502
MMC,8/6/24,Broker D,2447921.75,0.33,0.590217888,104508,Sell,142300,142300,0.104534873,216.13,219.32,219.14,217.14,216.1486502
CB,8/6/24,Broker B,2063046.375,0.31,0.533117235,112104,Sell,153200,148600,0.100689407,281.56,285.91,285.89,283.76,281.6028658
ETN,8/6/24,Broker C,3941023.75,0.6,1.268835664,101652,Buy,374700,335800,0.100332507,271.33,264.46,264.58,276.99,271.3290446
MDT,8/6/24,Broker A,8498045,0.29,0.682784915,104912,Buy,673400,673400,0.103170096,84.02,82.89,82.99,84.87,83.93414559
AMT,8/6/24,Broker B,3553526.5,0.31,0.532872975,102045,Buy,208900,208900,0.087999451,226.99,223.55,223.82,227.36,226.9477519
SO,8/6/24,Broker D,5008373,0.23,0.426127642,99270,Buy,352200,296000,0.05951847,92.69,91.71,91.73,93.19,92.69052557
BMY,8/6/24,Broker C,13893362,0.33,0.433606565,99581,Buy,1462500,1329000,0.143057465,50.69,49.67,49.84,51.03,50.7017164
MO,8/6/24,Broker C,12420729,0.23,0.458243698,97184,Sell,988200,875600,0.096165745,57.56,58.45,58.24,57.65,57.57631333
ELV,8/6/24,Broker E,1897402.5,0.34,0.451055408,92069,Buy,173400,173400,0.153643148,430.44,422.45,422.59,436.9,430.2800857
LMT,8/6/24,Broker B,1811621.75,0.34,0.528686762,107512,Sell,120500,120500,0.073098272,455.85,463.23,463.16,461.89,455.9204012
BX,8/6/24,Broker D,6410232,0.74,1.327261329,147576,Buy,386300,386300,0.105067155,131,127.67,127.69,133.03,130.9768187
PLD,8/6/24,Broker B,6284098,0.54,1.035050511,93652,Buy,373900,341200,0.085183985,103.28,101,101.19,105,103.2484504
CME,8/6/24,Broker B,3201366.75,0.23,0.449448019,93818,Sell,193300,193300,0.174213917,261.24,264.38,264.29,262.79,261.3384187
DUK,8/6/24,Broker B,4900300,0.24,0.36730212,93375,Buy,281400,281400,0.199890661,123.39,121.95,121.96,123.67,123.3313323
SBUX,8/6/24,Broker C,11626514,0.59,1.146592379,91644,Buy,1050700,1050700,0.12336784,83.06,80.82,80.98,84.19,83.03480187
CRWD,8/6/24,Broker C,4596504.5,0.73,1.664388299,89901,Buy,308100,308100,0.147549705,382.25,372.09,372.14,382.63,382.1868564
ICE,8/6/24,Broker D,4024815.75,0.28,0.815884113,89064,Buy,393300,393300,0.112811366,160.29,157.82,157.98,160.92,160.2465814
CI,8/6/24,Broker D,1856092.125,0.26,0.510866761,88048,Sell,96600,96600,0.15777025,328.15,331.87,331.79,331.21,328.1742224
WELL,8/6/24,Broker C,3609059,0.31,0.67238766,93593,Sell,294800,294800,0.174275074,145.05,147.27,147.31,145.58,145.1059872
GEV,8/6/24,Broker B,4296794.5,0.8,1.5,85579,Buy,272100,272100,0.09006048,334.47,324.93,325.04,340.16,334.4768224
ADI,8/6/24,Broker E,4588623,0.77,1.321415544,86791,Buy,248700,248700,0.070958616,180.56,175.47,175.69,183.99,180.4998826
MCK,8/6/24,Broker D,1129723.5,0.27,0.501902699,85534,Sell,89900,89900,0.181501537,693.63,703.03,702.91,694.48,693.6672424
MDLZ,8/6/24,Broker A,10405951,0.27,0.409132928,87785,Sell,621800,621800,0.180829822,67.19,67.87,67.9,67.66,67.2332949
CVS,8/6/24,Broker E,10635882,0.33,0.764965117,82270,Buy,665600,665600,0.151974442,68.62,67.45,67.53,69.07,68.51774504
WM,8/6/24,Broker B,1838091.625,0.25,0.538219333,91559,Buy,155900,155900,0.08742731,234.53,231.23,231.36,237.15,234.4697035
KLAC,8/6/24,Broker A,1346563.125,0.74,1.578629613,82496,Buy,123600,123600,0.158997057,645.26,627.21,627.3,646.39,645.1922103
AJG,8/6/24,Broker D,1667881.125,0.34,0.612837076,81682,Buy,146800,146800,0.092950181,334.52,329.04,329.14,335.11,334.4813007
INTC,8/6/24,Broker A,111931832,0.93,1.574641943,82154,Buy,9632500,9632500,0.198351082,19.95,18.99,19.3,20.01,19.85129769
LRCX,8/6/24,Broker D,13776550,0.81,1.61843729,80088,Buy,1299400,1299400,0.15173751,64.82,62.67,62.77,64.85,64.72439831
ORLY,8/6/24,Broker B,458705.9688,0.3,0.512424648,78334,Buy,29500,29500,0.124831411,1416.84,1396.81,1396.93,1420.99,1416.791034
AON,8/6/24,Broker A,1403522.25,0.28,0.581544459,76886,Sell,85500,74700,0.176133808,362.14,365.75,365.88,362.47,362.2270679
APH,8/6/24,Broker E,9046439,0.54,1.336825252,77057,Buy,717000,717000,0.162490594,66.4,64.75,64.81,67.69,66.33128926
CL,8/6/24,Broker E,5917938,0.3,0.457846314,76810,Buy,490700,490700,0.080057688,97.93,96.23,96.34,98.51,97.82566847
SHW,8/6/24,Broker B,2088853.375,0.36,0.941084564,81062,Sell,124200,124200,0.107322595,326.69,331.87,331.95,328.27,326.7284102
EQIX,8/6/24,Broker A,787754.5625,0.39,0.928478122,75633,Sell,88900,74200,0.157335363,771,784.52,784.44,781.67,771.1120541
MU,8/6/24,Broker C,28983996,1.04,1.875524879,74587,Buy,1795800,1795800,0.191154455,70.42,68,68.07,71.24,70.41590696
TDG,8/6/24,Broker B,314887.9063,0.42,0.995311379,73277,Buy,26500,26500,0.169863488,1366.64,1340.06,1339.92,1378.78,1366.5438
TT,8/6/24,Broker D,1656028.125,0.45,1.197039723,72305,Buy,159100,159100,0.089155668,339,332,332.05,344.26,339.001461
ANET,8/6/24,Broker E,11877461,0.7,1.682001829,84968,Buy,1185100,1185100,0.129727782,71.68,69.3,69.47,72.93,71.58402277
NOC,8/6/24,Broker C,1115825.375,0.32,0.599564493,76585,Sell,91000,91000,0.145179763,531.49,540,539.96,533.14,531.5273317
PH,8/6/24,Broker A,1032480.313,0.68,1.207091451,70472,Buy,101700,101700,0.124430716,571.45,556.14,556.17,582.03,571.3437513
WMB,8/6/24,Broker C,8275608.5,0.39,0.808866858,68896,Buy,658000,658000,0.099210599,59.41,58.37,58.36,59.59,59.42799648
CDNS,8/6/24,Broker A,2427913.5,0.57,1.3736552,69006,Sell,163900,163900,0.170002592,251.76,257.16,257.06,253.84,251.8076333
MMM,8/6/24,Broker C,4530638,0.51,1.006646872,68003,Buy,233200,233200,0.138903037,132.35,129.84,129.89,134.09,132.3322955
CTAS,8/6/24,Broker E,2318209.75,0.41,0.948155165,80923,Sell,174500,174500,0.161150347,200.62,204.6,204.69,200.75,200.6142394
UPS,8/6/24,Broker C,6512738.5,0.48,0.871397614,81575,Buy,642500,642500,0.199377429,98.64,96.34,96.45,99.93,98.64108545
MSI,8/6/24,Broker B,948396.125,0.34,0.9049986,68847,Buy,72300,72300,0.160879581,425.46,418.33,418.54,427.62,425.4493063
GD,8/6/24,Broker E,1655810.125,0.36,0.714203775,73317,Sell,101900,101900,0.104094523,271.6,276.26,276.3,276,271.6862687
KKR,8/6/24,Broker E,7550706.5,0.9,1.628254652,87004,Sell,486900,486900,0.136211993,98.55,102.03,101.9,100.29,98.64677022
ZTS,8/6/24,Broker A,2779203.75,0.37,0.767200053,65522,Buy,224900,191000,0.122700086,150.97,148.67,148.82,152.3,150.8972303
NKE,8/6/24,Broker D,25678442,0.71,0.788271487,82833,Sell,1966800,1663200,0.114916611,54.77,56.36,56.22,55.04,54.84788027
MCO,8/6/24,Broker A,1041817.375,0.52,1.158737779,74348,Sell,54500,54500,0.110530493,415.96,423.27,423.29,420.74,416.0798275
CMG,8/6/24,Broker E,14388523,0.46,0.869820356,63064,Buy,1096600,1096600,0.151199067,49.11,47.84,48.07,49.56,48.99562008
CEG,8/6/24,Broker D,4398039.5,0.83,1.476271391,60695,Sell,317900,317900,0.177059604,198.79,204.87,204.98,201.53,198.8297033
SNPS,8/6/24,Broker C,1463162.375,0.54,1.399227858,62213,Sell,99800,99800,0.136993021,398.31,407.29,407.19,403.64,398.3377906
NEM,8/6/24,Broker C,13934138,0.49,1.032853365,62236,Buy,1189900,1189900,0.161109789,58.34,57.16,57.09,58.98,58.39714286
EOG,8/6/24,Broker A,4546741,0.56,0.80652982,60179,Sell,304600,304600,0.169043099,106.95,109.32,109.16,109.1,107.0703585
COF,8/6/24,Broker C,5593778,0.71,1.180324078,63005,Sell,500100,500100,0.0839717,166.39,171.37,171.43,167.19,166.3448624
ITW,8/6/24,Broker A,1335379.125,0.41,0.863521516,66773,Buy,117100,117100,0.190270763,233.91,229.84,229.92,234.19,233.7805968
DASH,8/6/24,Broker A,8294022.5,0.68,1.455383658,72765,Buy,514000,514000,0.061952949,184.29,180.11,180.14,186.66,184.1901249
FTNT,8/6/24,Broker C,5420590,0.6,1.176363707,71299,Buy,354200,354200,0.197103936,97.91,95.71,95.69,98.89,97.87880579
AZO,8/6/24,Broker C,164381.0938,0.3,0.586766005,59709,Buy,9300,9300,0.06879746,3666.53,3618.75,3618.97,3689.74,3666.495106
PYPL,8/6/24,Broker C,11983751,0.56,1.264015198,59636,Buy,678900,678900,0.127674861,62.36,60.96,61.08,63.51,62.39160221
PNC,8/6/24,Broker B,3215447.75,0.46,1.039765954,59414,Buy,320400,274600,0.142612951,155.26,151.98,152,157.17,155.2838269
ECL,8/6/24,Broker E,1645770.375,0.3,0.852666318,65664,Buy,106700,106700,0.163655677,241.91,238.27,238.27,242.05,241.7459552
HCA,8/6/24,Broker B,1648882.375,0.33,0.669401526,78197,Buy,144500,144500,0.107515277,340.7,334.93,335.02,341.09,340.6652805
ROP,8/6/24,Broker C,670314.9375,0.35,0.779269636,57910,Buy,38100,33600,0.181312223,563.32,555.34,555.46,569.76,563.3016778
USB,8/6/24,Broker E,15376011,0.5,1.192224503,58908,Buy,831500,831500,0.102927124,39.14,38.08,38.35,39.5,39.03305221
REGN,8/6/24,Broker B,1086888.625,0.39,0.743007243,61073,Buy,91800,91800,0.127700044,581.3,570.35,570.51,586.98,581.1782188
APD,8/6/24,Broker A,1285565.375,0.42,0.879582047,57305,Sell,91900,91900,0.183978793,258.54,262.9,262.84,260.29,258.5930752
TRV,8/6/24,Broker D,1616036.75,0.36,0.650661469,56549,Sell,127100,127100,0.087142517,254.22,258.39,258.46,257.65,254.235867
AEP,8/6/24,Broker B,5192580,0.26,0.428053766,56352,Buy,497500,497500,0.198646008,109.41,107.77,107.82,109.51,109.3612076
BDX,8/6/24,Broker B,2398220.25,0.32,0.611429393,56454,Sell,238800,238800,0.174332643,195.18,198.71,198.62,196.95,195.2505904
APO,8/6/24,Broker B,5210564.5,0.84,1.517835021,68247,Buy,454900,454900,0.157873331,129.29,125.12,125.09,129.81,129.1909548
EMR,8/6/24,Broker E,3611822,0.55,1.123367548,54371,Sell,271200,271200,0.113196151,96.07,98.54,98.47,97.1,96.16975029
ADSK,8/6/24,Broker D,1828719.625,0.43,1.176352382,54160,Sell,151800,151800,0.141410147,251.59,256.52,256.51,255.13,251.6187717
BK,8/6/24,Broker C,4807429.5,0.46,1.002221107,53159,Buy,254900,254900,0.142900273,77.11,75.73,75.77,77.48,77.10502779
OKE,8/6/24,Broker A,4399638.5,0.61,0.982543945,51107,Buy,330200,290400,0.126077456,87.66,85.73,85.81,88.46,87.56779882
CSX,8/6/24,Broker C,17247650,0.38,0.81662339,51585,Sell,947100,947100,0.094146242,27,27.54,27.43,27.24,26.97141241
AFL,8/6/24,Broker B,2209897.75,0.37,0.651851058,57294,Buy,196200,196200,0.111755134,109.49,107.52,107.5,109.85,109.3749283
KMI,8/6/24,Broker C,14069475,0.41,0.77816236,57307,Buy,1113700,1113700,0.137130086,27.65,27.01,27.14,27.97,27.70077904
CPRT,8/6/24,Broker C,5663842.5,0.31,1.003289819,56739,Buy,437200,437200,0.140907663,60.65,59.56,59.75,60.9,60.6295175
ALL,8/6/24,Broker E,2196536,0.42,0.638867438,49568,Buy,167700,167700,0.192438613,196.96,192.99,193.04,199.28,196.8651663
O,8/6/24,Broker A,6787345.5,0.28,0.546792388,51687,Buy,372500,372500,0.130042325,59.56,58.69,58.95,59.52,59.4689502
JCI,8/6/24,Broker D,4893669.5,0.52,1.112372398,49147,Sell,409600,357000,0.090706915,74.64,76.34,76.26,75.29,74.66649186
HLT,8/6/24,Broker C,3031887.5,0.45,0.915118396,49023,Buy,278700,278700,0.121955171,213.72,209.1,209.3,215.55,213.7392252
MAR,8/6/24,Broker A,2279838,0.52,1.014037013,59395,Buy,162600,153200,0.087447839,223.23,218.99,219.05,225.72,223.146039
HWM,8/6/24,Broker C,3149206.5,0.62,1.214276791,48321,Buy,302300,302300,0.117191218,126.54,122.99,123.18,126.74,126.503854
NSC,8/6/24,Broker B,1405256,0.42,0.922046959,49532,Buy,93300,93300,0.162864021,223.58,219.31,219.54,226.04,223.5622316
COR,8/6/24,Broker D,2001972.375,0.23,0.437819302,54464,Sell,129500,129500,0.179552563,286.21,289.33,289.33,287.32,286.2701671
RSG,8/6/24,Broker A,1455583.875,0.28,0.62843889,74483,Sell,132600,132600,0.11591033,239.6,242.65,242.69,241.2,239.7005068
SLB,8/6/24,Broker C,21908206,0.69,0.939860463,47078,Sell,1935400,1935400,0.147830442,33.49,34.72,34.48,33.92,33.50524952
ABNB,8/6/24,Broker B,6031917,0.64,1.223857641,71612,Sell,443200,387000,0.160241919,110.7,113.4,113.51,110.89,110.714697
CARR,8/6/24,Broker D,5284097.5,0.48,1.201488495,50267,Buy,433600,433600,0.098323428,60.85,59.48,59.61,61.88,60.77325865
AIG,8/6/24,Broker D,6132646.5,0.39,0.718751848,46340,Buy,602100,602100,0.162169437,82.7,81.18,81.17,83.81,82.64145736
DLR,8/6/24,Broker A,2638210.25,0.42,0.910633385,50244,Buy,167600,167600,0.101637654,152.7,150.26,150.35,153.51,152.6071097
RCL,8/6/24,Broker E,3211878.75,0.77,1.301109672,51454,Sell,367500,317500,0.162012776,186.31,193,192.85,187.46,186.3912721
EXC,8/6/24,Broker E,9899152,0.27,0.404019773,46671,Sell,946300,946300,0.173772144,46.64,47.48,47.4,46.94,46.78018658
KR,8/6/24,Broker B,8351748.5,0.33,0.378295392,47789,Sell,743200,659500,0.172240533,71.21,72.51,72.4,71.53,71.25310064
KMB,8/6/24,Broker C,2202193.5,0.27,0.478593826,46454,Buy,203200,203200,0.105080794,145.75,143.5,143.68,146,145.7507867
WDAY,8/6/24,Broker A,2488970.25,0.44,1.046601534,56951,Sell,186100,186100,0.071178795,215.17,218.91,218.96,217.09,215.2516199
FCX,8/6/24,Broker C,21833502,0.87,1.440998435,47352,Sell,2135400,1867600,0.191808259,32.24,33.3,33.37,32.45,32.25192182
TFC,8/6/24,Broker E,12838491,0.54,1.143862844,46093,Buy,1061100,1061100,0.135704187,36.64,35.66,35.75,37.21,36.55084701
FAST,8/6/24,Broker E,4317566.5,0.41,0.823430419,46056,Buy,369800,369800,0.185244508,83.13,81.45,81.44,84.33,83.06220586
PSA,8/6/24,Broker A,899280.375,0.35,0.74413836,50443,Buy,78500,78500,0.162734365,298.67,294.06,294.2,300.47,298.6168314
FICO,8/6/24,Broker E,192598.1719,0.51,1.182162404,44345,Buy,12300,11700,0.153027726,1937.83,1896.82,1896.93,1945.25,1937.709929
PAYX,8/6/24,Broker A,2656627.25,0.41,0.755127072,50567,Buy,180900,150900,0.108528409,146.75,144.51,144.63,148.48,146.6039741
PCAR,8/6/24,Broker C,3600774.75,0.46,0.874807894,45822,Buy,231100,231100,0.118746487,89.65,87.72,87.98,90.54,89.67464221
SPG,8/6/24,Broker B,2080938.375,0.52,1.014560699,48024,Sell,200200,200200,0.155817395,144.94,148.73,148.57,148.17,144.9632028
ROST,8/6/24,Broker D,3821738.5,0.38,0.791156411,44554,Buy,326900,326900,0.165274352,141.6,139.14,139.15,142.77,141.5857305
FDX,8/6/24,Broker A,2370554,0.6,0.871101379,49147,Buy,178700,178700,0.18118053,210.98,206.3,206.35,211.09,210.8476138
SRE,8/6/24,Broker E,5377201,0.39,0.737867653,45934,Buy,451400,451400,0.118670086,72.45,71.07,71.04,73.13,72.4083027
CCI,8/6/24,Broker E,4355920.5,0.42,0.537642241,44471,Sell,229600,229600,0.062218711,102.28,104.22,104.15,102.48,102.3493132
KVUE,8/6/24,Broker C,17303216,0.31,0.598850489,42729,Sell,1221200,1155600,0.079857889,23.17,23.38,23.51,23.37,23.24798665
AMP,8/6/24,Broker C,587742.8125,0.54,1.200113416,43226,Buy,50600,50600,0.148876299,472.62,461.71,461.7,481.27,472.6328156
D,8/6/24,Broker D,5696607,0.35,0.531895697,44366,Sell,424900,424900,0.089992999,52.27,53.16,53.11,52.35,52.32281574
GWW,8/6/24,Broker A,300362.875,0.31,0.898724616,47149,Buy,15500,15500,0.066610693,1009.17,998.03,998.15,1019.84,1009.039048
GM,8/6/24,Broker E,17818398,0.47,1.023413062,42893,Sell,1174300,1174300,0.170033501,43.75,44.69,44.68,43.89,43.87487941
NXPI,8/6/24,Broker A,3608436.75,0.87,1.313321352,43496,Sell,329500,329500,0.127247096,166.26,171.95,171.85,166.89,166.3917672
TGT,8/6/24,Broker A,9577029,0.59,0.745406866,42724,Buy,567300,567300,0.09165087,95.98,93.91,94.08,96.44,95.81577658
MSCI,8/6/24,Broker B,605950.1875,0.44,0.953426242,41399,Buy,37100,37100,0.160960233,552.76,542.68,542.71,560.83,552.6848626
KDP,8/6/24,Broker B,14291824,0.25,0.479637235,47907,Sell,953500,953500,0.135116337,34.95,35.62,35.4,35.36,35.01921772
EW,8/6/24,Broker B,4871998.5,0.29,0.932674706,40680,Sell,341800,341800,0.137490195,70.19,71.2,71.21,70.94,70.22263971
MET,8/6/24,Broker E,4264862,0.57,0.970704496,47958,Buy,410000,410000,0.096537269,74.28,72.28,72.32,75.67,74.17350245
PEG,8/6/24,Broker E,3184916.75,0.3,0.649215996,40010,Sell,274700,274700,0.197016104,81.83,83.23,83.22,82.72,81.88898279
VRSK,8/6/24,Broker C,1055410.375,0.32,0.653001904,39793,Buy,70800,70800,0.06941324,299.15,294.7,294.83,300.51,299.1168018
LHX,8/6/24,Broker B,1484300.75,0.31,0.786988199,40194,Buy,112200,112200,0.15796236,221.22,217.87,217.86,222.09,221.1087052
CTVA,8/6/24,Broker C,3840735.75,0.42,0.811250389,40380,Buy,404300,341300,0.086356614,60.99,59.76,59.81,61.52,61.00785402
PSX,8/6/24,Broker A,3662350.5,0.67,0.967380404,39525,Buy,358700,358700,0.135521775,100.42,97.7,97.77,102.22,100.3294852
MNST,8/6/24,Broker B,6403771.5,0.29,0.588039458,56453,Buy,439300,439300,0.184963816,59.25,58.42,58.42,59.53,59.20714241
AXON,8/6/24,Broker C,729520.5,0.59,1.405653238,42188,Buy,68400,68400,0.104280721,571.4,556.63,556.9,572.1,571.4272937
